balance
-20051558694.46500000000000
-27164137.06615000000000
-959903258.95186900000000
-221703329.68550900000000
-137764604.05855000000000
-385580455.81777000000000
-29233818.50885980000000
-526660632.18967800000000
-612471451.11651000000000
-350859075.35402900000000
-209512201.88789900000000
-287105226.93499900000000
-172709452.56392000000000
