mon,Year,Month,Customer_rate,TP_Rate,Balance,ON,3M,6M,1Y,2Y,3Y,4Y,5Y
201912,2019,12,0.009788459,0,28920505903,0.025998126,0.029687438,0.030258543,0.030304988,0.030296927,0.030197819,0.030167399,0.03020939
202001,2020,1,0.009863087,0,27365499903,0.026156553,0.029759078,0.030296736,0.03033731,0.030297808,0.030193404,0.030170881,0.030217012
202002,2020,2,0.009918274,0,27464481014,0.02624832,0.02978158,0.030313364,0.030356375,0.030292448,0.030186873,0.030172165,0.030222189
202003,2020,3,0.009949518,0,27549154867,0.02627944,0.029797703,0.030323832,0.030368784,0.030283798,0.030178368,0.030171708,0.03022535
202004,2020,4,0.009961322,0,28660970528,0.026277019,0.029805489,0.030326291,0.030371649,0.030271702,0.030168897,0.03017221,0.030229716
202005,2020,5,0.009967242,0,26980934399,0.026292271,0.029815794,0.030339342,0.030370665,0.030259103,0.030161653,0.030172683,0.030233937
202006,2020,6,0.009972672,0,29246035454,0.026313002,0.029820003,0.030355233,0.030366676,0.030245859,0.030154249,0.030173328,0.030237518
202007,2020,7,0.009975605,0,26697239900,0.026309676,0.029816281,0.030377986,0.030358308,0.03022877,0.030146293,0.030174218,0.030241401
202008,2020,8,0.009977554,0,27994294828,0.02631072,0.029828189,0.030398924,0.030350755,0.030213071,0.030140525,0.030176126,0.030245795
202009,2020,9,0.009975626,0,28572128491,0.026302222,0.029855611,0.03041509,0.030340102,0.030196515,0.03013428,0.03017847,0.030250375
202010,2020,10,0.00997677,0,28352682456,0.026311668,0.029905658,0.030417789,0.030328133,0.030179485,0.030129994,0.030180717,0.030254697
202011,2020,11,0.009986407,0,26756863194,0.02635938,0.029942113,0.030406587,0.030313341,0.030163359,0.030126014,0.030183574,0.030259843
202012,2020,12,0.010006026,0,27894968171,0.026428896,0.029942183,0.030378486,0.030288154,0.030141124,0.030118764,0.03018453,0.030262961
202101,2021,1,0.010022431,0,27669279482,0.026452304,0.029898254,0.030339364,0.03025805,0.030119018,0.030112952,0.030185042,0.030266511
202102,2021,2,0.010026363,0,27922256900,0.026425501,0.02984014,0.030300605,0.03022837,0.030098997,0.030107654,0.03018617,0.030270548
202103,2021,3,0.010009209,0,28245069462,0.026341429,0.02978488,0.030264965,0.030195393,0.030078244,0.030102033,0.030188193,0.030275666
202104,2021,4,0.009984036,0,26600005986,0.026271001,0.029752365,0.030238507,0.030169066,0.03006343,0.030102268,0.030191857,0.030282804
202105,2021,5,0.0099601,0,28944173993,0.026228576,0.029734996,0.030220354,0.030147309,0.030054083,0.030104488,0.030197952,0.030291713
202106,2021,6,0.00994378,0,26208364634,0.026203401,0.029716621,0.030198599,0.03012047,0.03004271,0.030105208,0.030204177,0.030302492
202107,2021,7,0.009932431,0,29750221770,0.026180456,0.029697499,0.03017776,0.030095758,0.030036311,0.03010961,0.03021022,0.030313072
202108,2021,8,0.009923192,0,27573324407,0.02615832,0.02967964,0.030154336,0.030074394,0.030032344,0.03011524,0.030217831,0.030325014
202109,2021,9,0.009912959,0,26609359439,0.026129693,0.029654459,0.030124972,0.030049088,0.030027236,0.030121845,0.030226461,0.030338085
202110,2021,10,0.009902343,0,27241082846,0.026101996,0.029630658,0.03009832,0.030027713,0.030027815,0.030129008,0.030235022,0.030351318
202111,2021,11,0.009891189,0,26703224191,0.026074387,0.029607519,0.030072078,0.030010612,0.030029586,0.030138351,0.030245377,0.030366161
202112,2021,12,0.009878591,0,27251000000,0.026039052,0.029574512,0.030040368,0.029990175,0.030030675,0.030148199,0.030256243,0.030381307
