balance
-46538023071.4545000000
-270905581.9822690000
-283110729.7109390000
-221954922.5158690000
-257266189.2537490000
-208046070.3914600000
-224320244.1317100000
-322551699.9003400000
-315941980.7759490000
-264568628.0654800000
-276843784.3948100000
-302488654.9857300000
-220034979.3091500000
-231836943.5970690000
-288858164.9691900000
-235797810.0938390000
-265536768.1965690000
-195829165.3161690000
-195369817.5477890000
-276931832.2836700000
-271718323.6272890000
-250193969.4152590000
-262540623.5365690000
-229637019.6117300000
-247937252.4818400000
-249715102.0967400000
-297630910.4742390000
-318861933.5491400000
-294706598.0918490000
-269301867.8689390000
-243730147.3226800000
-332156336.4651990000
-364843959.3443590000
-282384935.2523500000
-274286055.8004190000
-288104769.5191100000
-285081597.5371390000
-244392721.1769790000
-304309064.0556290000
-305426640.3597590000
-245904464.4003000000
-249948311.3465200000
-226708445.7197200000
-284519739.5632900000
-267374939.6947290000
-318581866.9037390000
-270881298.1193490000
-313221282.9486590000
-289736497.5067590000
-256793492.0427890000
-368115544.9315700000
-314645910.3382800000
-635783206.8458770000
-609729478.7613810000
-625887272.1994280000
-534344748.5638190000
-713147596.3739790000
-958991593.9895880000
-985313743.8557390000
-982529859.5099760000
-2948783488.6501000000
